FILE_NAME,STAGE_LOCATION,LAST_LOAD_TIME,ROW_COUNT,ROW_PARSED,FILE_SIZE,FIRST_ERROR_MESSAGE,FIRST_ERROR_LINE_NUMBER,FIRST_ERROR_CHARACTER_POS,FIRST_ERROR_COLUMN_NAME,ERROR_COUNT,ERROR_LIMIT,STATUS,TABLE_CATALOG_NAME,TABLE_SCHEMA_NAME,TABLE_NAME,PIPE_CATALOG_NAME,PIPE_SCHEMA_NAME,PIPE_NAME,PIPE_RECEIVED_TIME,BYTES_BILLED
wta_tour/1993_wta.csv.gz,stages/fabe5a45-7e5f-4bc0-acb0-9b674171b0bc/,2026-08-08 16:19:40.214 -0700,2847,2847,73600,,,,,0,2847,Loaded,TENNIS,RAW,WTA_MATCHES,,,,,
wta_tour/1991_wta.csv.gz,stages/fabe5a45-7e5f-4bc0-acb0-9b674171b0bc/,2026-08-08 16:19:40.214 -0700,2752,2752,69072,,,,,0,2752,Loaded,TENNIS,RAW,WTA_MATCHES,,,,,
wta_tour/2016_wta.csv.gz,stages/fabe5a45-7e5f-4bc0-acb0-9b674171b0bc/,2026-08-08 16:19:40.214 -0700,2893,2923,138000,Numeric value 'Q' is not recognized,150,47,"""WTA_MATCHES""[""winner_seed"":10]",30,2923,Partially loaded,TENNIS,RAW,WTA_MATCHES,,,,,
wta_tour/1996_wta.csv.gz,stages/fabe5a45-7e5f-4bc0-acb0-9b674171b0bc/,2026-08-08 16:19:40.214 -0700,2510,2517,65584,Numeric value '1037' is out of range,600,98,"""WTA_MATCHES""[""winner_rank"":17]",7,2517,Partially loaded,TENNIS,RAW,WTA_MATCHES,,,,,
wta_tour/1998_wta.csv.gz,stages/fabe5a45-7e5f-4bc0-acb0-9b674171b0bc/,2026-08-08 16:19:40.214 -0700,2119,2120,52192,Numeric value 'ALT' is not recognized,1882,101,"""WTA_MATCHES""[""loser_seed"":20]",1,2120,Partially loaded,TENNIS,RAW,WTA_MATCHES,,,,,
wta_tour/2002_wta.csv.gz,stages/fabe5a45-7e5f-4bc0-acb0-9b674171b0bc/,2026-08-08 16:19:40.214 -0700,2924,2924,77088,,,,,0,2924,Loaded,TENNIS,RAW,WTA_MATCHES,,,,,
wta_tour/2024_wta.csv.gz,stages/fabe5a45-7e5f-4bc0-acb0-9b674171b0bc/,2026-08-08 16:19:40.214 -0700,2658,2658,122528,,,,,0,2658,Loaded,TENNIS,RAW,WTA_MATCHES,,,,,
wta_tour/2012_wta.csv.gz,stages/fabe5a45-7e5f-4bc0-acb0-9b674171b0bc/,2026-08-08 16:19:40.214 -0700,2830,2849,117680,Numeric value '1114' is out of range,253,105,"""WTA_MATCHES""[""winner_rank"":17]",19,2849,Partially loaded,TENNIS,RAW,WTA_MATCHES,,,,,
wta_tour/2003_wta.csv.gz,stages/fabe5a45-7e5f-4bc0-acb0-9b674171b0bc/,2026-08-08 16:19:40.214 -0700,2710,2717,79120,Numeric value '1207' is out of range,1027,101,"""WTA_MATCHES""[""winner_rank"":17]",7,2717,Partially loaded,TENNIS,RAW,WTA_MATCHES,,,,,
wta_tour/2001_wta.csv.gz,stages/fabe5a45-7e5f-4bc0-acb0-9b674171b0bc/,2026-08-08 16:19:40.214 -0700,2882,2882,76288,,,,,0,2882,Loaded,TENNIS,RAW,WTA_MATCHES,,,,,
wta_tour/2015_wta.csv.gz,stages/fabe5a45-7e5f-4bc0-acb0-9b674171b0bc/,2026-08-08 16:19:40.214 -0700,2649,2651,108416,Numeric value '1076' is out of range,921,99,"""WTA_MATCHES""[""winner_rank"":17]",2,2651,Partially loaded,TENNIS,RAW,WTA_MATCHES,,,,,
wta_tour/2025_wta.csv.gz,stages/fabe5a45-7e5f-4bc0-acb0-9b674171b0bc/,2026-08-08 16:19:40.214 -0700,2598,2622,120944,Numeric value 'Q' is not recognized,134,98,"""WTA_MATCHES""[""loser_seed"":20]",24,2622,Partially loaded,TENNIS,RAW,WTA_MATCHES,,,,,
wta_tour/1999_wta.csv.gz,stages/fabe5a45-7e5f-4bc0-acb0-9b674171b0bc/,2026-08-08 16:19:40.214 -0700,2276,2278,56272,Numeric value 'ALT' is not recognized,1946,102,"""WTA_MATCHES""[""loser_seed"":20]",2,2278,Partially loaded,TENNIS,RAW,WTA_MATCHES,,,,,
wta_tour/2021_wta.csv.gz,stages/fabe5a45-7e5f-4bc0-acb0-9b674171b0bc/,2026-08-08 16:19:40.214 -0700,2592,2597,121936,Numeric value '280' is out of range,1102,178,"""WTA_MATCHES""[""w_1stWon"":37]",5,2597,Partially loaded,TENNIS,RAW,WTA_MATCHES,,,,,
wta_tour/2022_wta.csv.gz,stages/fabe5a45-7e5f-4bc0-acb0-9b674171b0bc/,2026-08-08 16:19:40.214 -0700,2528,2594,123328,Numeric value 'Q' is not recognized,153,105,"""WTA_MATCHES""[""loser_seed"":20]",66,2594,Partially loaded,TENNIS,RAW,WTA_MATCHES,,,,,
wta_tour/2009_wta.csv.gz,stages/fabe5a45-7e5f-4bc0-acb0-9b674171b0bc/,2026-08-08 16:19:40.214 -0700,2721,2722,112192,Numeric value '1078' is out of range,1119,78,"""WTA_MATCHES""[""winner_rank"":17]",1,2722,Partially loaded,TENNIS,RAW,WTA_MATCHES,,,,,
